,Unnamed: 0.1,Unnamed: 0,№,street,zip_code,latitude,longitude,region,hex_id
79,79,79,80,"""Москва, Кастанаевская улица, 54к3""",121108,55.735592800000006,37.46789869674541,"121108, г Москва, р-н Фили-Давыдково, ул Кастанаевская, д 54 к 3",8811aa7a49fffff
80,80,80,81,"""Москва, Рябиновая улица, 24с2""",121471,55.69929455,37.4077214070803,"121471, г Москва, Можайский р-н, ул Рябиновая, д 24 стр 2",8811aa45c7fffff
81,81,81,82,"""Москва, Живописная улица, 52""",123098,55.8023217,37.45097553703248,"123098, г Москва, р-н Щукино, ул Живописная, д 52",8811aa7155fffff
82,82,82,83,"""Москва, Ломоносовский проспект, 27""",119234,55.69897735,37.523057503988326,"119234, г Москва, р-н Раменки, Ломоносовский пр-кт, д 27",8811aa7a27fffff
83,83,83,84,"""Москва, Университетский проспект""",119234,55.7002023,37.5461755,"119234, г Москва, р-н Раменки, тер Ленинские Горы, д 1 стр 22",8811aa7a21fffff
84,84,84,85,"""Москва, Винницкая улица, 8к4""",119192,55.7018337,37.4919568,"119192, г Москва, р-н Раменки, ул Винницкая, д 8 к 1",8811aa7a65fffff
85,85,85,86,"""Москва, Монтажная улица, 1/4с55""",107497,55.8196873,37.77005497110477,"107497, г Москва, р-н Метрогородок, ул Монтажная, д 1/4 стр 55",8811aa602bfffff
86,86,86,87,"""Москва, Малая Красносельская улица, 2/8к1""",107140,55.7882734,37.65346430126373,"107140, г Москва, Красносельский р-н, ул Малая Красносельская, д 2/8 стр 22",8811aa636bfffff
87,87,87,88,"""Москва, 2-й Грайвороновский проезд, 46""",109518,55.72198,37.7438944893818,"109518, г Москва, Рязанский р-н, проезд Грайвороновский 2-й, д 46",8811aa6a43fffff
88,88,88,89,"""Москва, улица Судакова, 29""",109382,55.6737825,37.75713400481109,"109382, г Москва, р-н Люблино, ул Судакова, д 29",8811aa6b57fffff
89,89,89,90,"""Москва, Рублёвское шоссе""",121609,55.7515342,37.4093483,"121609, г Москва, Крылатское р-н, Осенний б-р, влд 2А",8811aa44a7fffff
90,90,90,91,"""Москва, Лужники""",119048,55.71573425,37.55537609000591,"119048, г Москва, р-н Хамовники, ул Лужники",8811aa7849fffff
91,91,91,92,"""Москва, 5-й Донской пр., 17""",119334,55.7026311,37.59564805032287,"119334, г Москва, Донской р-н, 5-й Донской проезд, д 17",8811aa7801fffff
92,92,92,93,"""Москва, улица Академика Пилюгина, 20к1""",117393,55.668669,37.532636208076255,"117393, г Москва, Ломоносовский р-н, ул Академика Пилюгина, д 20 к 1",8811aa7b07fffff
93,93,93,94,"""Москва, Большая Филёвская улица, 23к4""",121309,55.744193,37.49116622857032,"121309, г Москва, р-н Филевский парк, ул Большая Филёвская, д 23 к 4",8811aa7a5dfffff
94,94,94,95,"""Москва, Рублёвское шоссе, 10""",121615,55.7387621,37.4408178,"121615, г Москва, р-н Филевский парк, Рублёвское шоссе, д 10",8811aa44abfffff
95,95,95,96,"""Москва, улица Академика Павлова, 40""",121552,55.7439057,37.4072483,"121552, г Москва, р-н Кунцево, ул Академика Павлова, д 40",8811aa44ebfffff
96,96,96,97,"""Москва, улица Герасима Курина, 12к1""",121108,55.73231425,37.47967812337343,"121108, г Москва, р-н Фили-Давыдково, ул Герасима Курина, д 12 к 1",8811aa44e5fffff
97,97,97,98,"""Москва, Карамышевская набережная, 36""",123423,55.76912005,37.47087669102665,"123423, г Москва, р-н Хорошево-Мневники, Карамышевская наб, д 36",8811aa7167fffff
98,98,98,99,"""Москва, Ярославское шоссе, 6к1""",129337,55.8525801,37.6813379,"129337, г Москва, Ярославский р-н, Ярославское шоссе, д 6 стр 2",8811aa6207fffff
99,99,99,100,"""Москва, улица Полины Осипенко, 14к1""",123007,55.7802107,37.533004414733554,"123007, г Москва, Хорошевский р-н, ул Полины Осипенко, д 14 к 1 стр 1",8811aa713dfffff
100,100,100,101,"""Москва, Мичуринский проспект, 70к1""",119602,55.68488245,37.47384918231394,"119602, г Москва, Мичуринский пр-кт, д 68",8811aa45b5fffff
101,101,101,102,"""Москва, улица Саломеи Нерис""",125373,55.8506882,37.4023425,"125373, г Москва, р-н Северное Тушино, ул Нерис Саломеи",8811aa7261fffff
